,Submission ID,What is your age?,How many cups of coffee do you typically drink per day?,Where do you typically drink coffee?,How do you brew coffee at home?,"On the go, where do you typically purchase coffee?",What is your favorite coffee drink?,Do you usually add anything to your coffee?,What kind of dairy do you add?,What kind of sugar or sweetener do you add?,"Before today's tasting, which of the following best described what kind of coffee you like?",How strong do you like your coffee?,What roast level of coffee do you prefer?,How much caffeine do you like in your coffee?,"Lastly, how would you rate your own coffee expertise?",Coffee A - Bitterness,Coffee A - Acidity,Coffee A - Personal Preference,Coffee B - Bitterness,Coffee B - Acidity,Coffee B - Personal Preference,Coffee C - Bitterness,Coffee C - Acidity,Coffee C - Personal Preference,Coffee D - Bitterness,Coffee D - Acidity,Coffee D - Personal Preference,"Between Coffee A, Coffee B, and Coffee C which did you prefer?","Between Coffee A and Coffee D, which did you prefer?","Lastly, what was your favorite overall coffee?",Do you work from home or in person?,"In total, much money do you typically spend on coffee in a month?",Why do you drink coffee?,Do you like the taste of coffee?,Do you know where your coffee comes from?,What is the most you've ever paid for a cup of coffee?,What is the most you'd ever be willing to pay for a cup of coffee?,Do you feel like you’re getting good value for your money when you buy coffee at a cafe?,Approximately how much have you spent on coffee equipment in the past 5 years?,Do you feel like you’re getting good value for your money with regards to your coffee equipment?,Gender,Education Level,Ethnicity/Race,Employment Status,Number of Children,Political Affiliation
3105,dYZ5bD,35-44 years old,1,At home,French press,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Whole milk, Half and half",Granulated Sugar,Nutty,Medium,Light,Full caffeine,4.0,3.0,2.0,4.0,2.0,2.0,5.0,1.0,1.0,1.0,3.0,3.0,3.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the ritual",Yes,No,$10-$15,$6-$8,No,$20-$50,Yes,Female,Bachelor's degree,Other,Employed full-time,0,Democrat
3106,LdERNp,45-54 years old,3,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), Espresso, Pour over",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Dark,Full caffeine,5.0,2.0,3.0,4.0,3.0,3.0,5.0,3.0,2.0,4.0,4.0,3.0,4.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the caffeine",Yes,No,$4-$6,$8-$10,No,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Independent
3108,vN0QGX,25-34 years old,2,At home,"Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,7.0,2.0,4.0,4.0,3.0,2.0,2.0,3.0,3.0,2.0,2.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$80-$100,"It tastes good, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
3109,PA2VKd,25-34 years old,1,"At home, At a cafe, On the go","Espresso, Pour over, Instant coffee","Specialty coffee shop, Local cafe",Other,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Bright,Very strong,Light,Half caff,7.0,2.0,3.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,1.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$40-$60,"It tastes good, I need the ritual, It makes me go to the bathroom",Yes,Yes,$10-$15,$15-$20,No,$500-$1000,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,No affiliation
3111,VZ9k9a,35-44 years old,2,"At home, At a cafe","Espresso, Pour over",Don't purchase on the go,Cortado,"Milk, dairy alternative, or coffee creamer",Skim milk,Don't add swetener,Nutty,Somewhat strong,Medium,Full caffeine,7.0,2.0,2.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine",Yes,No,$8-$10,$10-$15,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,1,Independent
3112,6d1XRP,25-34 years old,2,"At home, On the go, At the office","Espresso, Pour over",Specialty coffee shop,Americano,"No - just black, Milk, dairy alternative, or coffee creamer","Whole milk, Oat milk",Don't add swetener,Sweet,Medium,Light,Full caffeine,8.0,2.0,5.0,4.0,3.0,3.0,3.0,4.0,2.0,1.0,2.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,>$100,"I need the caffeine, It tastes good",Yes,Yes,$6-$8,$15-$20,No,"More than $1,000",Yes,Male,Doctorate or professional degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
3113,ZdGpev,25-34 years old,More than 4,At home,"Pour over, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Half caff,5.0,2.0,4.0,5.0,3.0,3.0,4.0,5.0,2.0,2.0,3.0,4.0,3.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$10-$15,$10-$15,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3114,g5QRJ1,25-34 years old,Less than 1,"At home, At a cafe",Espresso,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener, Flavor syrup","Oat milk, Flavored coffee creamer","Honey, Maple Syrup, Brown Sugar",Sweet,Medium,Light,Full caffeine,4.0,2.0,4.0,4.0,3.0,2.0,3.0,4.0,2.0,2.0,2.0,5.0,1.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$8-$10,Yes,$500-$1000,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3115,0EbpD0,25-34 years old,2,At home,"Pour over, Espresso",Don't purchase on the go,Espresso,"No - just black, Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Bright,Very strong,Light,Full caffeine,7.0,3.0,4.0,5.0,3.0,2.0,2.0,4.0,3.0,3.0,2.0,2.0,4.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$15-$20,More than $20,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
3116,421ga5,25-34 years old,4,"At home, At the office","Pour over, French press, Espresso, Coffee brewing machine (e.g. Mr. Coffee), Other",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Full Bodied,Medium,Medium,Full caffeine,6.0,5.0,3.0,1.0,2.0,3.0,3.0,2.0,3.0,5.0,1.0,2.0,1.0,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,No,$4-$6,$4-$6,Yes,$50-$100,Yes,Male,Some college or associate's degree,Other,Employed full-time,0,Independent
3117,0EbpkQ,25-34 years old,2,"At the office, At home, At a cafe",Pour over,Don't purchase on the go,Iced coffee,"Milk, dairy alternative, or coffee creamer, No - just black","Oat milk, Almond milk",Don't add swetener,Sweet,Medium,Light,Full caffeine,6.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,3.0,3.0,1.0,4.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine, It makes me go to the bathroom, I need the ritual",Yes,Yes,$10-$15,$15-$20,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Independent
3118,EPB4JX,25-34 years old,2,At home,"Pour over, Cold brew, French press, Espresso",Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Bright,Very strong,Light,Full caffeine,7.0,3.0,4.0,5.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,4.0,5.0,Coffee A,Coffee A,Coffee A,I primarily work from home,$40-$60,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$8-$10,$10-$15,Yes,,,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
3119,KMPqxg,18-24 years old,1,At home,"Pour over, French press, Cold brew",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Nutty,Somewhat strong,Dark,Full caffeine,5.0,1.0,5.0,1.0,3.0,2.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,Coffee B,Coffee D,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,No,$2-$4,$10-$15,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Unemployed,0,Democrat
3120,VZ92pM,25-34 years old,3,"At home, At a cafe, On the go, At the office","Pour over, Espresso, Instant coffee, Coffee extract (e.g. Cometeer), Cold brew, Coffee brewing machine (e.g. Mr. Coffee), Pod/capsule machine (e.g. Keurig/Nespresso)","Specialty coffee shop, National chain (e.g. Starbucks, Dunkin)",Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,2.0,2.0,3.0,4.0,1.0,2.0,5.0,3.0,1.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,More than $20,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,No affiliation
3121,QAx6zA,25-34 years old,2,At home,Espresso,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,8.0,1.0,5.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Non-binary,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3122,ZdGpJo,25-34 years old,1,"At a cafe, At home","French press, Pour over",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Bright,Medium,Light,Full caffeine,7.0,2.0,3.0,3.0,2.0,1.0,4.0,2.0,1.0,2.0,1.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I do a mix of both,$20-$40,"It tastes good, I need the caffeine",Yes,Yes,$10-$15,More than $20,Yes,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,No affiliation
3123,24bMRg,25-34 years old,1,At home,"French press, Espresso, Pour over",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,6.0,2.0,4.0,4.0,3.0,2.0,4.0,2.0,2.0,3.0,3.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,$10-$15,Yes,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3124,EPB4Pr,25-34 years old,2,"At home, At the office","Pour over, Cold brew",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Medium,Full caffeine,6.0,1.0,4.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I do a mix of both,$60-$80,"It tastes good, I need the ritual, It makes me go to the bathroom, I need the caffeine",Yes,Yes,$6-$8,$6-$8,No,$500-$1000,Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
3125,yl0Wkd,25-34 years old,Less than 1,"At home, At a cafe","Pour over, Instant coffee",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,8.0,3.0,3.0,4.0,4.0,1.0,3.0,4.0,3.0,2.0,1.0,5.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$20-$40,It tastes good,Yes,Yes,$10-$15,More than $20,Yes,$300-$500,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3126,dYZ5VV,25-34 years old,2,"At home, At the office","Pour over, Espresso",Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Juicy,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,4.0,5.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$40-$60,"It tastes good, I need the caffeine, It makes me go to the bathroom",Yes,Yes,$10-$15,More than $20,No,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3127,7dJ852,18-24 years old,2,At home,"Pod/capsule machine (e.g. Keurig/Nespresso), French press",Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Bold,Very strong,Dark,Full caffeine,4.0,2.0,4.0,3.0,3.0,4.0,5.0,2.0,3.0,4.0,3.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$40-$60,It tastes good,Yes,No,$15-$20,$15-$20,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3128,VZ9ky6,45-54 years old,3,"At home, At the office","Espresso, Pour over",Don't purchase on the go,Cortado,Sugar or sweetener,Don't add diary,Raw Sugar (Turbinado),Bold,Somewhat strong,Medium,Full caffeine,6.0,2.0,4.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,4.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work in person,$80-$100,It tastes good,Yes,Yes,$4-$6,$6-$8,No,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,Independent
3130,0EbpWj,25-34 years old,3,"At home, At a cafe","Espresso, Pour over",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,8.0,3.0,2.0,2.0,1.0,1.0,4.0,3.0,1.0,2.0,1.0,3.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$60-$80,"It tastes good, I need the ritual",Yes,Yes,$10-$15,More than $20,Yes,"More than $1,000",Yes,Male,Bachelor's degree,Asian/Pacific Islander,Employed full-time,0,Democrat
3131,yl0W8X,18-24 years old,2,"At home, At the office, At a cafe",Pour over,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Floral,Medium,Light,Full caffeine,5.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,No,$6-$8,$6-$8,No,$300-$500,No,Male,,White/Caucasian,Student,0,Democrat
3132,PA2aJe,25-34 years old,1,At home,Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Nutty,Medium,Light,Full caffeine,6.0,2.0,5.0,5.0,4.0,1.0,2.0,4.0,4.0,3.0,2.0,4.0,4.0,Coffee A,Coffee A,Coffee A,I do a mix of both,$60-$80,I need the ritual,Yes,Yes,$15-$20,$6-$8,Yes,$500-$1000,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3133,5dly0Z,35-44 years old,Less than 1,At home,Instant coffee,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Skim milk, Coffee creamer, Flavored coffee creamer",Granulated Sugar,Sweet,Medium,Light,Full caffeine,2.0,4.0,5.0,1.0,3.0,3.0,2.0,3.0,2.0,3.0,5.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work from home,<$20,"I need the caffeine, It tastes good",Yes,No,$4-$6,$6-$8,Yes,Less than $20,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3134,VZ9kRv,18-24 years old,Less than 1,None of these,,Don't purchase on the go,Blended drink (e.g. Frappuccino),"Flavor syrup, Sugar or sweetener, Milk, dairy alternative, or coffee creamer",Whole milk,Granulated Sugar,Sweet,Weak,Medium,Full caffeine,1.0,3.0,5.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I do a mix of both,<$20,I need the caffeine,No,No,$4-$6,$2-$4,No,Less than $20,Yes,Female,Bachelor's degree,White/Caucasian,Employed full-time,0,Democrat
3135,ZdGpqy,55-64 years old,2,At home,"French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",Don't purchase on the go,Other,No - just black,Don't add diary,Don't add swetener,Caramalized,Somewhat strong,Medium,Full caffeine,5.0,4.0,2.0,2.0,3.0,2.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,It tastes good,Yes,No,$4-$6,$4-$6,No,$300-$500,Yes,Female,Some college or associate's degree,White/Caucasian,Employed full-time,2,Independent
3136,rl0zKv,25-34 years old,2,At home,Pour over,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Whole milk,Honey,Full Bodied,Very strong,Dark,Full caffeine,3.0,4.0,5.0,3.0,4.0,2.0,4.0,4.0,2.0,5.0,4.0,2.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work in person,$20-$40,"I need the caffeine, I need the ritual",Yes,No,$6-$8,$6-$8,No,$20-$50,Yes,Female,Doctorate or professional degree,White/Caucasian,Employed full-time,0,Democrat
3137,24bM69,25-34 years old,1,At home,"French press, Coffee brewing machine (e.g. Mr. Coffee), Other",Don't purchase on the go,Espresso,No - just black,Don't add diary,Don't add swetener,Full Bodied,Somewhat strong,Medium,Full caffeine,6.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,4.0,4.0,3.0,5.0,4.0,Coffee C,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,$4-$6,No,$100-$300,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,3,No affiliation
3138,24bMXM,55-64 years old,2,"At the office, At home",Pour over,Don't purchase on the go,Pourover,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,5.0,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0,Coffee A,Coffee D,Coffee A,I primarily work in person,$40-$60,It tastes good,Yes,Yes,$4-$6,$8-$10,Yes,$500-$1000,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,More than 3,Independent
3140,24bMBM,55-64 years old,3,"At home, On the go",Pour over,Other,Pourover,"Milk, dairy alternative, or coffee creamer",Almond milk,Don't add swetener,Nutty,Somewhat strong,Dark,Full caffeine,6.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,4.0,2.0,1.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$4-$6,No,$20-$50,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
3141,24bMKD,25-34 years old,Less than 1,At home,Coffee brewing machine (e.g. Mr. Coffee),Don't purchase on the go,Other,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Bold,Medium,Medium,Full caffeine,1.0,1.0,2.0,1.0,1.0,1.0,5.0,2.0,1.0,4.0,2.0,4.0,2.0,Coffee C,Coffee D,Coffee C,I primarily work in person,<$20,"It tastes good, I need the caffeine",Yes,No,$6-$8,$4-$6,No,Less than $20,Yes,Male,Less than high school,White/Caucasian,Employed full-time,0,Republican
3142,eBNdrx,35-44 years old,2,At a cafe,,Don't purchase on the go,Cappuccino,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Half caff,4.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,4.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,>$100,"It tastes good, I need the caffeine, I need the ritual, Other",Yes,Yes,$8-$10,More than $20,Yes,$50-$100,Yes,Non-binary,Some college or associate's degree,White/Caucasian,Employed part-time,0,Democrat
3143,5dlyld,35-44 years old,1,"At home, At a cafe","Espresso, Pour over",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer","Whole milk, Half and half",Don't add swetener,Sweet,Medium,Medium,Full caffeine,6.0,3.0,3.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0,2.0,4.0,2.0,Coffee A,Coffee A,Coffee A,,$40-$60,It tastes good,Yes,Yes,$10-$15,$8-$10,Yes,$300-$500,Yes,Male,Master's degree,White/Caucasian,Homemaker,0,No affiliation
3145,rl0XqM,45-54 years old,3,At home,"French press, Espresso, Pour over",Don't purchase on the go,Americano,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener","Half and half, Whole milk","Stevia, Granulated Sugar",Chocolatey,Very strong,Medium,Full caffeine,8.0,2.0,4.0,2.0,3.0,3.0,5.0,4.0,2.0,4.0,2.0,5.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the ritual",Yes,No,$6-$8,$8-$10,No,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,1,
3146,Al6V2y,35-44 years old,2,At home,"Pour over, French press, Pod/capsule machine (e.g. Keurig/Nespresso), Other",Don't purchase on the go,Cortado,No - just black,Don't add diary,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,7.0,2.0,4.0,4.0,5.0,1.0,4.0,5.0,2.0,4.0,3.0,5.0,3.0,Coffee C,Coffee A,Coffee C,I do a mix of both,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$4-$6,$4-$6,Yes,$100-$300,Yes,Male,Master's degree,White/Caucasian,Employed full-time,3,
3147,0EbpQP,35-44 years old,4,At home,"Pour over, Espresso, Coffee brewing machine (e.g. Mr. Coffee)",Don't purchase on the go,Americano,"Milk, dairy alternative, or coffee creamer",Oat milk,Don't add swetener,Chocolatey,Somewhat strong,Medium,Full caffeine,8.0,2.0,4.0,3.0,2.0,2.0,5.0,3.0,2.0,4.0,4.0,1.0,3.0,Coffee B,Coffee A,Coffee B,I do a mix of both,$80-$100,"It tastes good, I need the caffeine, I need the ritual, It makes me go to the bathroom",Yes,Yes,$8-$10,More than $20,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,2,No affiliation
3148,ZdG06a,25-34 years old,2,At home,Espresso,Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Whole milk,Granulated Sugar,Nutty,Somewhat strong,Medium,Full caffeine,5.0,1.0,5.0,2.0,4.0,1.0,4.0,5.0,2.0,4.0,2.0,4.0,3.0,Coffee B,Coffee D,Coffee B,I do a mix of both,$40-$60,"It tastes good, I need the ritual, I need the caffeine",Yes,Yes,$6-$8,$15-$20,Yes,"More than $1,000",Yes,Male,Master's degree,White/Caucasian,Employed full-time,0,Democrat
3149,EPB2aL,25-34 years old,2,"At home, At a cafe, On the go",Pour over,"Specialty coffee shop, Local cafe",Latte,No - just black,Don't add diary,Don't add swetener,Fruity,Medium,Light,Full caffeine,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work from home,$20-$40,"It tastes good, I need the ritual",Yes,Yes,$8-$10,More than $20,Yes,$50-$100,Yes,Male,High school graduate,White/Caucasian,Employed full-time,0,Democrat
3150,bl2BVe,25-34 years old,2,At the office,,Don't purchase on the go,Regular drip coffee,"Milk, dairy alternative, or coffee creamer",Half and half,Don't add swetener,Full Bodied,Medium,Light,Full caffeine,2.0,4.0,4.0,1.0,2.0,2.0,5.0,3.0,4.0,2.0,3.0,3.0,3.0,Coffee B,Coffee D,Coffee B,I primarily work in person,$20-$40,"I need the ritual, It tastes good, I need the caffeine",Yes,No,$6-$8,$8-$10,Yes,$50-$100,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,Republican
3151,XeRVlO,35-44 years old,2,At the office,,Don't purchase on the go,Americano,No - just black,Don't add diary,Don't add swetener,Full Bodied,Medium,Medium,Full caffeine,3.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0,4.0,4.0,5.0,1.0,Coffee C,Coffee A,Coffee C,I primarily work in person,<$20,"It tastes good, I need the caffeine, I need the ritual",Yes,No,$15-$20,More than $20,No,$500-$1000,No,Male,Some college or associate's degree,Hispanic/Latino,Employed full-time,1,Independent
3154,RzZXGp,25-34 years old,1,At home,"Pour over, French press, Other",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Juicy,Medium,Light,Full caffeine,5.0,3.0,3.0,4.0,4.0,1.0,5.0,5.0,1.0,4.0,2.0,5.0,4.0,Coffee B,Coffee A,Coffee B,I primarily work from home,$20-$40,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$6-$8,$8-$10,No,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Democrat
3155,dYZLxV,35-44 years old,2,"At home, At a cafe","Pour over, French press",Don't purchase on the go,Regular drip coffee,No - just black,Don't add diary,Don't add swetener,Fruity,Somewhat strong,Light,Full caffeine,7.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0,2.0,3.0,1.0,3.0,5.0,Coffee B,Coffee D,Coffee D,I primarily work from home,$60-$80,"I need the caffeine, It tastes good, I need the ritual",Yes,Yes,$10-$15,$15-$20,Yes,$300-$500,Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
3156,NA4KXN,25-34 years old,1,At home,Pour over,Don't purchase on the go,Iced coffee,No - just black,Don't add diary,Don't add swetener,Full Bodied,Medium,Medium,Full caffeine,5.0,2.0,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,1.0,2.0,2.0,Coffee C,Coffee A,Coffee C,I primarily work from home,$40-$60,"It tastes good, I need the ritual",Yes,Yes,$6-$8,$10-$15,Yes,$100-$300,Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,0,No affiliation
3159,LdEAbJ,25-34 years old,2,"At the office, At home","Pour over, Espresso",Don't purchase on the go,Cortado,"No - just black, Milk, dairy alternative, or coffee creamer",Whole milk,Don't add swetener,Sweet,Somewhat strong,Light,Full caffeine,7.0,1.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,1.0,1.0,4.0,5.0,Coffee A,Coffee D,Coffee D,I primarily work in person,$40-$60,"It tastes good, I need the caffeine",Yes,Yes,$8-$10,$10-$15,No,"More than $1,000",Yes,Male,Bachelor's degree,White/Caucasian,Employed full-time,2,Independent
3160,jB0dQ1,25-34 years old,2,At home,"Pour over, Espresso",Don't purchase on the go,Latte,"No - just black, Milk, dairy alternative, or coffee creamer","Whole milk, Oat milk",Don't add swetener,Sweet,Somewhat strong,Medium,Full caffeine,7.0,2.0,3.0,2.0,2.0,2.0,4.0,4.0,1.0,1.0,1.0,3.0,3.0,Coffee B,Coffee D,Coffee B,I primarily work from home,$60-$80,"It tastes good, I need the caffeine, I need the ritual",Yes,Yes,$8-$10,More than $20,Yes,"More than $1,000",Yes,Male,Some college or associate's degree,White/Caucasian,Employed full-time,0,Democrat
3161,24bqre,55-64 years old,1,At home,"Instant coffee, Espresso",Don't purchase on the go,Latte,"Milk, dairy alternative, or coffee creamer, Sugar or sweetener",Half and half,Granulated Sugar,Bold,Somewhat strong,Medium,Full caffeine,5.0,2.0,3.0,2.0,3.0,1.0,4.0,2.0,2.0,1.0,2.0,2.0,1.0,Coffee B,Coffee A,Coffee B,I primarily work from home,,It tastes good,Yes,No,$6-$8,$4-$6,Yes,$500-$1000,Yes,Male,,,,0,
